,Ciutats,Participants,Vimeo,,TÍTOLS,ANECDOTES,DEAF+HEARING
001,2020 València,Aurora,1211616576,1,#APPLAUSE,JOKES,DEAF+HEARING
002,,,1211616574,2,#SHOPING,ANECDOTES,DEAF+HEARING
003,,,1211616575,4,#FLOOD,MEMORIES,
004,,Dani,1211615982,1,#HEARING AID,ANECDOTES,DEAF+HEARING
005,,,1211615986,2,#BUS,ANECDOTES,DEAF+HEARING
006,,,1211615981,3,#DEAF SPERM,JOKES,DEAF+HEARING
007,,,1211615987,4,#MONEY,ANECDOTES,
008,,Monica,1211615292,1,#BIRDS,JOKES,DEAF+HEARING
009,,,1211615291,2,#CALL OF NATURE,ANECDOTES,DEAF+HEARING
010,,,1211615289,3,#CASUALTY,MEMORIES,DEAF+HEARING
011,,,1211615289,4,#PUZZLED,MISUNDERSTANDINGS,DEAF+HEARING
012,,Pegolino,1211614388,1,#COIN,JOKES,
013,,,1211614385,2,#GRENADE,JOKES,DEAF+HEARING
014,,,1211614386,3,#CONDOM,JOKES,
015,,,1211614387,4,#HORN,ANECDOTES,DEAF+HEARING
016,,,1211614511,5,#RADIO,ANECDOTES,DEAF+HEARING
017,,,1211614546,6,#CHECKPOINT,ANECDOTES,DEAF+HEARING
018,,Pepa,1211612212,2,#IMPOLITE,JOKES,DEAF+HEARING
019,,,1211612211,3,#SUBWAY,JOKES,DEAF+HEARING
020,,,1211612213,4,#BATHROOM,ANECDOTES,
021,,,1211612210,5,#INQUISITIVE,MEMORIES,
022,,,1211612346,6,#HEARING AID,MEMORIES,DEAF+HEARING
023,,Riutort,1211611135,1,#FAREWELL,JOKES,DEAF+HEARING
024,,,1211611063,2,#TRAIN,JOKES,DEAF+HEARING
025,,,1211611040,3,#SHOPPING,ANECDOTES,DEAF+HEARING
026,,,1211610992,4,#OUTSIDE,ANECDOTES,DEAF+HEARING
027,,,1211610936,5,#WEDDING,ANECDOTES,DEAF+HEARING
028,,Sony,1211608975,1,#PHONE BOOTH,ANECDOTES,DEAF+HEARING
029,,,1211608975,2,#HELMET,ANECDOTES,DEAF+HEARING
030,,,1211608971,3,#INGENUITY,ANECDOTES,
031,,,1211608974,5,#ASSOCIATION,ANECDOTES,DEAF+HEARING
032,2021 Mexico,Beto,1211638604,1,#ACCIDENT,MEMORIES,DEAF+HEARING
033,,,1211638605,3,#PEE,MEMORIES,
034,,,1211638607,4,#EXAM,MISUNDERSTANDINGS,
035,,Gustavo,1211637952,1,#PYRAMID,JOKES,DEAF+HEARING
036,,,1211637968,2,#SEX,ANECDOTES,DEAF+HEARING
037,,,1211638032,4,#HELL,JOKES,
038,,,1211638121,5,#COW,JOKES,
039,,Indy,1211636809,1,#RESTAURANT,JOKES,
040,,,1211636813,2,#PREGNANCY,JOKES,
041,,,1211636810,3,#EGGS,JOKES,
042,,,1211636807,4,#EARTHQUAKE,MISUNDERSTANDINGS,DEAF+HEARING
043,,Ixchel,1211636243,1,#DRUNK,JOKES,
044,,,1211636245,3,#HAPINESS,JOKES,
045,,Luis,1211636244,2,#TAXI,JOKES,DEAF+HEARING
046,,Miguel,1211635871,2,#VAMPIRE,JOKES,
047,,,1211635870,3,#COW,JOKES,
048,,,1211635872,4,#PAINTINGS,JOKES,
049,,Ole,1211635509,4,#LOVE,ANECDOTES,DEAF+HEARING
050,,,1211635522,5,#KISS,ANECDOTES,DEAF+HEARING
051,,Titi,1211634222,1,#THIEF,JOKES,
052,,,1211634223,2,#SHAMPOO,JOKES,
053,,Veronica,1211633776,3,#ADDICTION,ANECDOTES,DEAF+HEARING
054,,,1211633777,4,#SLIDE,ANECDOTES,DEAF+HEARING
055,2023 Bilbao,Aitor,1211644032,1,#CANDY,MEMORIES,DEAF+HEARING
056,,,1211644031,2,#FIRE-ALARM,MEMORIES,DEAF+HEARING
057,,,1211644029,3,#LAPSUS,ANECDOTES,DEAF+HEARING
058,,,1211644030,4,#LAPSUS,ANECDOTES,DEAF+HEARING
059,,,1211644150,5,#LAPSUS,JOKES,
060,,,1211644218,6,#CODA,JOKES,DEAF+HEARING
061,,Amaia,1211644220,1,#SMART,MEMORIES,DEAF+HEARING
062,,,1211644227,2,#CROWD,ANECDOTES,
063,,,1211644255,3,#CUNNING,MEMORIES,DEAF+HEARING
064,,,1211644331,4,#CUNNING,MEMORIES,
065,,Eduardo,1211644344,3,#LAPSUS,MEMORIES,
066,,,1211644372,4,#MIX-UP,MISUNDERSTANDINGS,DEAF+HEARING
067,,Iñaqui,1211644397,1,#NOISE,MEMORIES,DEAF+HEARING
068,,,1211644401,2,#LIP READING,MEMORIES,DEAF+HEARING
069,,,1211644409,3,#DREAM,MEMORIES,DEAF+HEARING
070,2023 São Paulo,AnaLaura,1211648907,1,#PERIOD,MEMORIES,
071,,,1211648909,2,#HORSE,ANECDOTES,DEAF+HEARING
072,,,1211648908,3,#SATURDAY,ANECDOTES,DEAF+HEARING
073,,Edinho,1211648906,1,#DEAF,JOKES,DEAF+HEARING
074,,,1211649060,2,#VIBRATION,JOKES,
075,,,1211649062,4,#HORN,ANECDOTES,DEAF+HEARING
076,,,1211649108,5,#BIRDS,ANECDOTES,DEAF+HEARING
077,,Fabio,1211649163,1,#WHEELCHAIR,JOKES,
078,,,1211649292,2,#BATHROOM,ANECDOTES,DEAF+HEARING
079,,,1211649342,3,#TRAIN,JOKES,DEAF+HEARING
080,,,1211649292,4,#COCHLEAR IMPLANT,JOKES,DEAF+HEARING
081,,,1211649452,5,#WAKING_UP,JOKES,DEAF+HEARING
